predicted_labels	true_labels	lil_interpretations	gil_interpretations
3	3	[('the chocolate company', -0.20113855600357056), ('in San Francisco', -0.21296995878219604), ('San Francisco', -0.430752158164978)]	"['What did The Gas House Gang play ?', ""What is Columbia Tristar 's phone number ?""]"
2	2	[('amphib ians', -0.8498191386461258), ('are amphib ians', -0.9467425681650639), ('What are amphib ians', -0.9848151002079248)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
3	3	[('discovered x - rays', -0.11322885751724243), ('x - rays', -0.20716941356658936)]	"[""Who wrote ` The Pines of Rome ' ?"", 'Who sang about Desmond and Molly Jones ?']"
3	3	[('Can we talk', -0.2928661108016968)]	"['What is DSL ?', ""Who wrote ` The Pines of Rome ' ?""]"
2	2	[('fib romy algia', -0.9393555112183094), ('is fib romy algia', -0.981452003121376)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
2	2	[('worn or outdated', -0.9222481101751328)]	['What is the chemical composition of a Barbie ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[('in engines', -0.7935294955968857)]	['President Bush compared Saddam Hussein to whom ?', 'What does storm wave mean in Japanese ?']
5	5	[]	"[""What letter does Gorbachev 's middle name start with ?"", 'What botanical marvel did Nebuchadnezzar build ?']"
4	4	[('of Yugoslavia', -0.8022726327180862), ('the capital', -0.8033830225467682)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
4	4	[('is Milan', -0.8238759636878967), ('Where is Milan', -0.9071407988667488)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
5	5	[('humming birds fly', -0.5971367955207825), ('humming birds', -0.6720156073570251)]	"[""What country 's royal house is Bourbon-Parma ?"", 'How many corners does a spritsail have ?']"
4	4	[('the United States', -0.8903505280613899), ('in the United States', -0.9450489096343517)]	"['What U.S. state ends with a G ?', ""What is New England 's highest mountain ?""]"
4	4	[('North Dakota', -0.8183223754167557), ('head , Minnesota', -0.9009210392832756)]	['What molecules include fluorine , sodium and magnesium ?', 'What U.S. state ends with a G ?']
1	1	[('do bats eat', -0.8586938679218292), ('What do bats eat', -0.9040142223238945)]	"[""What army 's motto is Blood and Fire ?"", ""What country 's royal house is Bourbon-Parma ?""]"
4	4	[('the Battle', -0.7968069761991501), ('B igh orn', -0.8867620229721069), ('take place in', -0.8880117610096931), ('of B igh orn', -0.9453513659536839)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
3	3	[('Who was Abraham Lincoln', -0.1606345772743225), ('was Abraham Lincoln', -0.28871452808380127), ('Abraham Lincoln', -0.4775383472442627)]	"['Who sang about Desmond and Molly Jones ?', ""What is Columbia Tristar 's phone number ?""]"
2	2	[('spider veins', -0.8440785706043243), ('are spider veins', -0.9435074664652348), ('What are spider veins', -0.9837299212813377)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('did John Lennon die', -0.5445896685123444), ('John Lennon', -0.6877764165401459)]	['What botanical marvel did Nebuchadnezzar build ?', 'What book does Holden Caulfield appear in ?']
4	4	[('North America', -0.812525138258934), ('from Asia', -0.8132229745388031)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
5	5	[('of Seattle', -0.6581121981143951), ('the population', -0.6627804040908813)]	"[""What country 's royal house is Bourbon-Parma ?"", 'How many corners does a spritsail have ?']"
5	5	[('for the Titanic', -0.5898111760616302), ('a ticket', -0.6615815758705139), ('the Titanic', -0.6707620322704315)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
4	4	[('the world', -0.8052566796541214), ('in the world', -0.8836762607097626)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
3	3	[('West Side Story', -0.24323934316635132), ('West Side', -0.44844383001327515), ('the music', -0.4736511707305908)]	"['What is DSL ?', ""Who played the original Charlie 's Angels ?""]"
4	4	[('the America', -0.861649826169014), ('of the America', -0.9402965009212494)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
2	2	[('the pH scale', -0.9382766410708427), ('is the pH scale', -0.9749146942049265)]	"[""When was `` the Great Depression '' ?"", 'President Bush compared Saddam Hussein to whom ?']"
1	1	[('used in Australia', -0.6860576272010803), ('in Australia', -0.704147607088089), ('is used in Australia', -0.7049306929111481), ('of currency', -0.7113875448703766), ('What type', -0.7218453586101532)]	"[""What country 's royal house is Bourbon-Parma ?"", ""What army 's motto is Blood and Fire ?""]"
5	5	[('St . Louis', -0.5473158061504364), ('the Gateway Arch', -0.5527313947677612)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
5	5	[]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
3	3	[('of Alaska', -0.44805341958999634)]	"[""Who wrote ` The Pines of Rome ' ?"", ""What is Columbia Tristar 's phone number ?""]"
2	2	[('a prism', -0.867334395647049), ('is a prism', -0.9533718638122082), ('What is a prism', -0.9868929674848914)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[]	['Who was the first English circumnavigator of the globe ?', 'How many corners does a spritsail have ?']
3	3	[('president of South Africa', -0.13026189804077148), ('of South Africa', -0.24782580137252808), ('South Africa', -0.45220261812210083), ('in 1994', -0.46291178464889526)]	"[""Who wrote ` The Pines of Rome ' ?"", ""What is Columbia Tristar 's phone number ?""]"
5	5	[('of China', -0.6696567535400391), ('the population', -0.6783921122550964)]	"[""What country 's royal house is Bourbon-Parma ?"", ""What is Mark McGwire 's e-mail address ?""]"
5	5	[('Rosa Parks', -0.6819418370723724)]	"['What botanical marvel did Nebuchadnezzar build ?', ""How many spears are there on Kenya 's flag ?""]"
2	2	[]	['What is the chemical composition of a Barbie ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[('am oxic illin', -0.9476452693343163), ('is am oxic illin', -0.9843883514404297)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
3	3	[]	"[""What is Columbia Tristar 's phone number ?"", ""Who wrote ` The Pines of Rome ' ?""]"
2	2	[]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
4	4	[('de Leon', -0.8164326697587967), ('come from', -0.8278738409280777), ('once de Leon', -0.8981980085372925), ('P once de Leon', -0.953290943056345)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
1	1	[('paper currency', -0.7128545045852661), ('during which', -0.7701816409826279), ('during which war', -0.7862105518579483)]	"[""What country 's royal house is Bourbon-Parma ?"", ""What army 's motto is Blood and Fire ?""]"
2	2	[('desktop publishing', -0.838385671377182), ('is desktop publishing', -0.9394335933029652), ('What is desktop publishing', -0.9821225386112928)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	"[(""the sun ' s"", -0.5390443205833435)]"	"[""What country 's royal house is Bourbon-Parma ?"", 'What does the abbreviation cwt. ?']"
5	5	[('join the United Nations', -0.5234269499778748), ('the United Nations', -0.598164975643158)]	"['What book does Holden Caulfield appear in ?', ""What letter does Gorbachev 's middle name start with ?""]"
3	3	[('in the US', -0.2382873296737671), ('the US', -0.439591646194458)]	"['What does a chairbound basophobic fear ?', ""Who wrote ` The Pines of Rome ' ?""]"
4	4	[('Prince Edward', -0.8392657488584518), ('Prince Edward Island', -0.9189142808318138)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
5	5	[('was it discovered', -0.5922558009624481), ('what year', -0.6715148687362671)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
2	2	[('cry ogen ics', -0.946962583810091), ('is cry ogen ics', -0.984219266101718)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
2	2	[('coral reefs', -0.8411550521850586), ('are coral reefs', -0.9423007518053055), ('What are coral reefs', -0.9830563459545374)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	1	[('baseball - winning', -0.5373536944389343)]	"[""What country 's royal house is Bourbon-Parma ?"", 'What does the abbreviation cwt. ?']"
2	2	[('neurolog y', -0.8468683212995529), ('is neurolog y', -0.9439021684229374), ('What is neurolog y', -0.9835683908313513)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
3	3	[('Who invented the calculator', -0.1220477819442749), ('invented the calculator', -0.2331017255783081), ('the calculator', -0.42734575271606445)]	"[""Who played the original Charlie 's Angels ?"", ""Who wrote ` The Pines of Rome ' ?""]"
2	2	[('measure earthquakes', -0.845684364438057)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
3	3	[('Duke E', -0.4326157569885254), ('lling ton', -0.4418713450431824)]	"['What did The Gas House Gang play ?', ""What is Columbia Tristar 's phone number ?""]"
4	4	[('Phoenix , AZ', -0.8934316709637642)]	"['What U.S. state ends with a G ?', ""What is New England 's highest mountain ?""]"
2	2	[('a mic ron', -0.9512481093406677), ('is a mic ron', -0.9852645983919501)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('what is the temperature', -0.5404832065105438), ('is the temperature', -0.6079846024513245), ('the temperature', -0.6869073212146759)]	"[""What country 's royal house is Bourbon-Parma ?"", 'What does the abbreviation cwt. ?']"
1	1	[]	"[""What country 's royal house is Bourbon-Parma ?"", ""What army 's motto is Blood and Fire ?""]"
5	5	[]	"[""How many spears are there on Kenya 's flag ?"", 'What botanical marvel did Nebuchadnezzar build ?']"
4	4	[('the U . S', -0.9504326209425926)]	"['What U.S. state ends with a G ?', ""What is New England 's highest mountain ?""]"
1	1	[('poison arrow', -0.783811092376709), ('a poison arrow frog', -0.8179536759853363)]	"[""What country 's royal house is Bourbon-Parma ?"", ""What army 's motto is Blood and Fire ?""]"
2	2	[('is acupuncture', -0.8637634515762329), ('What is acupuncture', -0.9538489580154419)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('the state of Alaska', -0.4671187400817871), ('of Alaska', -0.6506415605545044), ('the state', -0.6668531000614166), ('the coastline', -0.674078106880188)]	['Who was the first English circumnavigator of the globe ?', 'How many corners does a spritsail have ?']
3	3	"[(""Neil Armstrong ' s"", -0.1718694567680359)]"	['Who sang about Desmond and Molly Jones ?', 'What does a chairbound basophobic fear ?']
1	1	[]	"[""What army 's motto is Blood and Fire ?"", ""What country 's royal house is Bourbon-Parma ?""]"
3	3	[('in 1989', -0.4670286774635315)]	"['What is DSL ?', ""What is Columbia Tristar 's phone number ?""]"
5	5	[]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
1	1	[('oste op or osis', -0.8523907512426376)]	"[""What army 's motto is Blood and Fire ?"", ""What country 's royal house is Bourbon-Parma ?""]"
5	5	[('won the World Series', -0.461345911026001), ('the Chicago Cubs', -0.5560171604156494), ('the World Series', -0.5648102462291718)]	"[""What letter does Gorbachev 's middle name start with ?"", 'What book does Holden Caulfield appear in ?']"
4	4	[('is Perth', -0.8214207589626312), ('Where is Perth', -0.9100130870938301)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
5	5	[('did WWII begin', -0.596210390329361)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
5	5	[('of a golf ball', -0.4904400706291199), ('a golf ball', -0.5673843622207642)]	"[""What country 's royal house is Bourbon-Parma ?"", 'Who was the first English circumnavigator of the globe ?']"
2	2	[('an eclipse', -0.8608544766902924), ('is an eclipse', -0.9509905949234962), ('What is an eclipse', -0.9860241701826453)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
3	3	[('Who discovered America', -0.26363956928253174), ('discovered America', -0.46063512563705444)]	"[""Who wrote ` The Pines of Rome ' ?"", ""Who played the original Charlie 's Angels ?""]"
5	5	[]	"[""What country 's royal house is Bourbon-Parma ?"", 'Who was the first English circumnavigator of the globe ?']"
3	3	[('Which president was unmarried', -0.13701242208480835), ('Which president', -0.45835649967193604), ('was unmarried', -0.46317458152770996)]	"['What is DSL ?', ""Who wrote ` The Pines of Rome ' ?""]"
5	5	[('the Milky Way galaxy', -0.47730642557144165), ('Milky Way', -0.6576702296733856)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
5	5	[('most thunder storms', -0.540526956319809), ('which season', -0.6457010805606842)]	['Who was the first English circumnavigator of the globe ?', 'What book does Holden Caulfield appear in ?']
2	2	[('Wim bledon', -0.8760106191039085), ('is Wim bledon', -0.955217394977808), ('What is Wim bledon', -0.9868420828133821)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('for a cat', -0.5735103785991669), ('a cat', -0.6597371697425842)]	"[""What country 's royal house is Bourbon-Parma ?"", ""What letter does Gorbachev 's middle name start with ?""]"
5	5	[('a n autical mile', -0.49583572149276733), ('n autical', -0.6672084927558899)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
3	3	"[(""Harper ' s Ferry"", -0.10644024610519409), (""Harper ' s"", -0.21784687042236328), ('in 18 59', -0.24202585220336914), ('was the abolition', -0.27860087156295776), ('18 59', -0.4453467130661011)]"	"['What is DSL ?', ""Who wrote ` The Pines of Rome ' ?""]"
2	2	[]	['What does idle mean ?', 'President Bush compared Saddam Hussein to whom ?']
1	1	[('to go into space', -0.7150627672672272), ('go into space', -0.7194810807704926), ('into space', -0.744089275598526)]	"[""What country 's royal house is Bourbon-Parma ?"", ""What army 's motto is Blood and Fire ?""]"
2	2	[('is foreclosure', -0.8557911664247513), ('What is foreclosure', -0.9494301080703735)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
4	1	[('near Kentucky', -0.8206175267696381)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
4	4	[('the Holland Tunnel', -0.9165987446904182)]	"['What U.S. state ends with a G ?', ""What is New England 's highest mountain ?""]"
3	3	[('Amazing Grace', -0.4605065584182739)]	"['Who sang about Desmond and Molly Jones ?', ""What is Columbia Tristar 's phone number ?""]"
3	3	[('play in baseball', -0.2713701128959656), ('in baseball', -0.4804433584213257), ('Willie Davis', -0.5004916191101074)]	['What did The Gas House Gang play ?', 'Who sang about Desmond and Molly Jones ?']
2	2	[('are plate', -0.8534734547138214), ('What are plate', -0.9506913460791111), ('What are plate lets', -0.9825952630490065)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
2	2	[('sever ance', -0.7921600937843323), ('sever ance pay', -0.8970222994685173), ('is sever ance pay', -0.9654516130685806)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
1	1	"[(""Roy Roger ' s"", -0.8854663819074631)]"	"[""What army 's motto is Blood and Fire ?"", ""Where does `` bovine '' come from ?""]"
4	4	[('the National Archives', -0.8956680297851562)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
1	1	[('a baby turkey', -0.8454344570636749)]	"[""What army 's motto is Blood and Fire ?"", ""Where does `` bovine '' come from ?""]"
1	1	[('the human body', -0.8641998320817947), ('in the human body', -0.9020642712712288)]	"[""What does Lloyd 's Lutine Bell announce ?"", ""Where does `` bovine '' come from ?""]"
3	3	[('is a German philosopher', -0.14131712913513184), ('a German philosopher', -0.26316148042678833)]	"[""Who wrote ` The Pines of Rome ' ?"", 'What is DSL ?']"
1	1	[]	"[""What country 's royal house is Bourbon-Parma ?"", ""What army 's motto is Blood and Fire ?""]"
2	2	[]	['What does idle mean ?', 'What does pH stand for ?']
2	2	[('is nicotine', -0.85367052257061), ('What is nicotine', -0.9493091218173504)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
1	1	[('vitamin B 1', -0.7629255205392838), ('for vitamin B 1', -0.7950164526700974)]	"[""What country 's royal house is Bourbon-Parma ?"", ""Where does `` bovine '' come from ?""]"
3	3	[('Who discovered rad ium', -0.11039203405380249), ('discovered rad ium', -0.2081189751625061), ('rad ium', -0.3897326588630676)]	"[""Who wrote ` The Pines of Rome ' ?"", 'Who sang about Desmond and Molly Jones ?']"
2	2	[('sun sp ots', -0.9365828931331635)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('colon ized', -0.6803556978702545)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
3	3	[('part of their uniform', -0.11258560419082642), ('of their uniform', -0.20793753862380981), ('their uniform', -0.39096999168395996), ('the first', -0.3912145495414734)]	"[""Who wrote ` The Pines of Rome ' ?"", ""What is Columbia Tristar 's phone number ?""]"
4	4	[('is Egypt on', -0.9003851935267448)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
4	4	[('of Mongolia', -0.7912106513977051), ('the capital', -0.7919944226741791)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
2	2	[('nan otechnology', -0.8553932458162308), ('is nan otechnology', -0.9469820894300938), ('What is nan otechnology', -0.9843741441145539)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
4	4	[('which colony', -0.8439127951860428), ('populate which colony', -0.9171094819903374), ('to populate which colony', -0.9573039524257183)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
4	4	[('lower 48', -0.8060656189918518), ('the geographic center', -0.882878802716732), ('the lower 48 states', -0.9388318061828613)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
2	2	[]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
2	2	[('poly mers', -0.8478306382894516), ('are poly mers', -0.945794552564621), ('What are poly mers', -0.9846108024939895)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
5	5	[('in the Caribbean', -0.604893684387207), ('the Caribbean', -0.6845447421073914)]	['How many corners does a spritsail have ?', 'Who was the first English circumnavigator of the globe ?']
4	4	[('M auna Lo a', -0.9607376269996166)]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
1	1	[('the Northern Lights', -0.6560996472835541), ('for the Northern Lights', -0.6590164601802826)]	"[""What causes `` rolling thunder '' ?"", ""Where does `` bovine '' come from ?""]"
4	4	[('part of', -0.8101241290569305), ('is Spain part of', -0.9455878287553787)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
5	5	[]	"[""What letter does Gorbachev 's middle name start with ?"", ""What is Mark McGwire 's e-mail address ?""]"
2	2	[('acet amin ophen', -0.953284177929163), ('is acet amin ophen', -0.9857279201969504)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
4	4	[('of rain', -0.6724535524845123), ('per year', -0.6796348989009857), ('the least amount', -0.771337553858757)]	['What U.S. state ends with a G ?', 'What two states is Washington D.C. between ?']
3	3	[('founded American Red Cross', -0.16133439540863037), ('American Red Cross', -0.2853696942329407)]	"[""Who wrote ` The Pines of Rome ' ?"", 'Who sang about Desmond and Molly Jones ?']"
5	5	[('become the Atlanta Braves', -0.520733118057251), ('the Milwaukee Braves', -0.5901912450790405), ('the Atlanta Braves', -0.5939910709857941)]	['Who was the first English circumnavigator of the globe ?', 'What botanical marvel did Nebuchadnezzar build ?']
5	5	[('is alcohol absorbed', -0.5768504738807678)]	['What botanical marvel did Nebuchadnezzar build ?', 'Who was the first English circumnavigator of the globe ?']
5	5	[]	"['How many corners does a spritsail have ?', ""What letter does Gorbachev 's middle name start with ?""]"
2	2	[('super nova', -0.8532606214284897), ('is super nova', -0.9454270824790001), ('What is super nova', -0.983915051445365)]	['What is the chemical composition of a Barbie ?', 'What does idle mean ?']
4	4	[]	['What U.S. state ends with a G ?', 'What molecules include fluorine , sodium and magnesium ?']
