predicted_labels	true_labels	lil_interpretations	gil_interpretations
0	0	[('s just plain bored', -0.030034124851226807), ('no sense of humor', -0.04885125160217285), ('just plain bored', -0.1029890775680542), ('no sense', -0.29319584369659424), ('in itself', -0.3205227255821228)]	['astoundingly', 'preposterousness']
0	0	[]	['preposterousness', 'astoundingly']
1	1	[('the lur id topic', -0.04322081804275513), ('of the chilly production', -0.05031132698059082), ('the chilly production', -0.1536722183227539), ('prove recommendation enough', -0.15581119060516357), ('of the piece', -0.16769766807556152)]	['worldly-wise and very funny script', 'astoundingly']
0	0	"[('over size', -0.3583069443702698), (""all ' s"", -0.42020708322525024), ('the thr ills', -0.4793374538421631), ('worthy environmental ism', -0.6910993158817291), ('am iable', -0.7257047295570374)]"	['astoundingly', 'worldly-wise and very funny script']
1	1	[('as visually dexter ous', -0.03178209066390991), ('as a photograph', -0.13213032484054565), ('as a dream', -0.1659443974494934), ('imagin atively overwhelming', -0.18521428108215332), ('as detailed', -0.3607434034347534)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('is warm ly affecting', -0.03341174125671387), ('ad roit ly minimalist', -0.05647909641265869), ('warm ly affecting', -0.12427306175231934), ('pic col i', -0.2773451805114746), ('the studio', -0.4428691267967224)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('play fulness and excitement', -0.018204212188720703), ('from the cast', -0.09516030550003052), ('that seems appropriate', -0.12794077396392822), ('the cast', -0.31262868642807007), ('a sense', -0.34145355224609375)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('the human complexities beneath', -0.010766804218292236), ('our precon ceived vision', -0.02244746685028076), ('the human complexities', -0.06417906284332275), ('the holy land', -0.09377604722976685), ('its inhabitants', -0.3229650855064392)]	['astoundingly', 'astoundingly rich film']
1	1	[('of the grim situation', -0.007559537887573242), ('the grim situation', -0.04322761297225952), ('the reality', -0.18814480304718018), ('e lling', -0.38895779848098755)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('describes its main characters', -0.12019342184066772), ('the lazy people', -0.20006990432739258), ('not only', -0.21742939949035645), ('its main characters', -0.2236642837524414), ('the camera', -0.29559701681137085)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('weight less intellectual entertainment', -0.20887750387191772), ('less intellectual entertainment', -0.2645326256752014), ('of pretty', -0.3611682653427124)]	['astoundingly', 'ugly and mindless']
0	0	[('cl ic hes', -0.08322906494140625), ('positively decad ent', -0.08401691913604736), ('absurd ities', -0.24338215589523315)]	['astoundingly', 'ugly and mindless']
1	1	[('for the most part', -0.052766621112823486), ('the most part', -0.16185837984085083)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('at his best', -0.05777275562286377), ('of east wood', -0.15179038047790527), ('his best', -0.21958696842193604), ('the virtues', -0.3489764332771301), ('east wood', -0.4097174406051636)]	['worldly-wise and very funny script', 'four star performance']
0	0	[('out of her depth', -0.07411789894104004), ('lifetime - channel', -0.12985432147979736), ('a lead actress', -0.1599007248878479), ('of her depth', -0.1815231442451477), ('of plot', -0.29176920652389526)]	['astoundingly', 'ugly and destructive']
0	0	[('some fancy special effects', -0.005245685577392578), ('at an egg timer', -0.005696594715118408), ('after - school', -0.041574954986572266), ('an egg timer', -0.08543318510055542), ('for 93 minutes', -0.15482878684997559)]	['worldly-wise and very funny script', 'played-out']
1	1	[('extraordinarily well - acted', -0.01889359951019287), ('the most part', -0.11511540412902832)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('in his medium', -0.2699282169342041), ('a very original artist', -0.35766708850860596), ('his medium', -0.4122788906097412), ('very original', -0.5902709662914276), ('what time', -0.7341104447841644)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('fiercely athe istic', -0.08541631698608398), ('an engaging look', -0.09263414144515991), ('ep onymous', -0.33723729848861694)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('like thoughtful treat ises', -0.009578466415405273), ('thoughtful treat ises', -0.07045155763626099), ('of intellig ible story', -0.07102805376052856), ('intellig ible story', -0.1954042911529541), ('x xx', -0.2645493149757385)]	['ugly and mindless', 'ugly and destructive']
0	0	[('to actually engage it', -0.03688466548919678), ('a cinematic gymn', -0.07665044069290161), ('too much fun', -0.10848933458328247), ('too much', -0.2846687436103821), ('engage it', -0.3146042227745056)]	['preposterousness', 'preposterous']
0	0	[('a far better title', -0.030352294445037842), ('far better', -0.23054248094558716)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('than scratch the surface', -0.046128273010253906), ('scratch the surface', -0.13953036069869995), ('ingly superficial', -0.2522053122520447), ('a movie', -0.28049159049987793), ('the surface', -0.3426803946495056)]	['astoundingly', 'preposterousness']
1	1	[('together they are magnificent', -0.056667327880859375), ('stand a chance alone', -0.1948099136352539), ('two mis fits', -0.2563559412956238), ('are magnificent', -0.49258852005004883), ('a chance', -0.6152279675006866)]	['astoundingly', 'show-stoppingly']
0	0	[('persist ently useless', -0.1758788824081421), ('middle - aged', -0.18555688858032227), ('the resusc itation', -0.22804176807403564), ('some hook', -0.29988574981689453), ('on which', -0.3473072052001953)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('the vast collective memory', 0.12170910835266113), ('of this film', -0.035762131214141846), ('of the combatants', -0.0750390887260437), ('this film', -0.13992321491241455), ('the combatants', -0.18962013721466064)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('in the right direction', -0.030617058277130127), ('this tricky topic', -0.10207843780517578), ('the right direction', -0.1097419261932373), ('its blend', -0.28230321407318115), ('frank ness', -0.30236339569091797)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('foot - dr agging', 0.13538283109664917), ('foot - dr', 0.09852558374404907), ('kicks in', 0.002421259880065918), ('dist ended', -0.06622660160064697), ('the script', -0.09911060333251953)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('full - length', -0.13060730695724487), ('rather than', -0.18609845638275146)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('right here', -0.4497264623641968)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('is back', -0.40523862838745117)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('horror movie fan atics', -0.15993642807006836), ('to skip', -0.22823864221572876), ('one to skip', -0.23480427265167236), ('horror movie', -0.23966455459594727)]	['astoundingly', 'played-out']
0	0	[('third - act', -0.3381296396255493), ('over bearing', -0.3957896828651428), ('of emotional steam', -0.5097478628158569), ('a head', -0.5215461254119873), ('emotional steam', -0.5735373795032501)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('chilling but quite human', -0.026743590831756592), ('this chamber drama', -0.12651681900024414), ('quite human', -0.3434048891067505), ('deeply appealing', -0.4060066342353821), ('superb ly', -0.4450870156288147)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('surprising po ign ance', -0.016657471656799316)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('the others', -0.31130942702293396), ('bl air witch', -0.39150866866111755)]	['worldly-wise and very funny script', 'played-out']
0	0	[]	['preposterousness', 'astoundingly']
1	1	[('of al ient ation', -0.08677679300308228), ('al ient ation', -0.23471707105636597), ('most intriguing', -0.3782348036766052)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('of its parts', -0.2199447751045227), ('its parts', -0.3466551899909973), ('the sum', -0.398823618888855)]	['astoundingly', 'preposterousness']
1	1	[('of path os', -0.19693118333816528), ('of gent ility', -0.197340726852417), ('its moments', -0.3943876624107361), ('gent ility', -0.4442143440246582), ('a triumph', -0.4502714276313782)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('sailors and folks', -0.1491585373878479), ('is good enough', -0.20187067985534668), ('about this film', -0.20997315645217896), ('around a submarine', -0.2307215929031372), ('this film', -0.364097535610199)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('down the toilet', -0.15101301670074463), ('an action film', -0.1606174111366272), ('by the filmmakers', -0.17877250909805298), ('of cinematic history', -0.19012218713760376), ('st upe f', -0.19206911325454712)]	['worldly-wise and very funny script', 'ugly and destructive']
1	1	[('a solid performance', -0.08825522661209106), ('big bad love', -0.1696246862411499), ('how ard', -0.47447633743286133)]	['worldly-wise and very funny script', 'four star performance']
0	0	[('the only way', -0.21005463600158691), ('for his next project', -0.2763751745223999), ('his next project', -0.2883831262588501), ('that ski mask', -0.3289898633956909)]	['astoundingly', 'preposterousness']
0	0	[('killer - th rill', -0.004643917083740234), ('around group therapy sessions', -0.31456297636032104), ('group therapy sessions', -0.4315562844276428), ('group therapy', -0.47123318910598755)]	['ugly and destructive', 'astoundingly']
1	1	[('look working - class', -0.2852189540863037), ('working - class', -0.3397035002708435), ('to le igh', -0.4271988272666931), ('major k udos', -0.48881086707115173), ('le igh', -0.5377284586429596)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('of official repression', -0.07279586791992188), ('this one included', -0.15787672996520996), ('aging hipp ies', -0.18349868059158325), ('official repression', -0.2965657114982605), ('the face', -0.3298460841178894)]	['astoundingly', 'show-stoppingly']
1	1	[('keeping these thoughts hidden', -0.03802525997161865), ('did by showing them', -0.10481196641921997), ('as great an impact', -0.18556255102157593), ('by showing them', -0.22358763217926025), ('these thoughts', -0.27262216806411743)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('decad ent tr uffle', -0.023186147212982178), ('than dark', -0.2171475887298584), ('tr uffle', -0.2644159197807312), ('should peak', -0.42268794775009155)]	['preposterousness', 'astoundingly']
1	1	[('dropping on his characters', -0.05493372678756714), ('on his characters', -0.11277240514755249), ('his characters', -0.20902878046035767), ('the privileged position', -0.21840596199035645)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('into your subconscious', 0.016144156455993652), ('your subconscious', -0.13773733377456665), ('a way', -0.16262894868850708), ('had a week ago', -0.22083306312561035), ('the nightmare', -0.307857871055603)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('from start to finish', -0.04035985469818115), ('to finish', -0.2976279854774475), ('from start', -0.32831162214279175), ('my interest', -0.36672282218933105), ('s a little crazy', -0.45277971029281616)]	['worldly-wise and very funny script', 'astoundingly']
1	1	"[('it hits its mark', -0.04857897758483887), ('hits its mark', -0.15236425399780273), (""' s brilliant"", -0.2070450782775879), ('its mark', -0.38105523586273193), ('s brilliant', -0.4029877185821533)]"	['astoundingly', 'worldly-wise and very funny script']
1	1	[('a good charitable enterprise', -0.05532175302505493), ('some interesting real people', -0.06289035081863403), ('a masterpiece', -0.6090409457683563), ('hard ly', -0.7373953759670258)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	0	[('will quickly recognize him', -0.27951347827911377), ('recognize him', -0.4776630401611328), ('ro ger', -0.5671071112155914)]	['worldly-wise and very funny script', 'astoundingly']
0	1	[('is a glorious failure', -0.006312668323516846), ('is a failure', -0.042323946952819824), ('a glorious failure', -0.04460114240646362), ('a failure', -0.15625077486038208)]	['astoundingly', 'preposterousness']
1	1	[('simple mel od rama', -0.04954802989959717), ('his characters', -0.27006012201309204), ('the situation', -0.2993866801261902), ('a way', -0.30532610416412354), ('inates us', -0.3665750026702881)]	['worldly-wise and very funny script', 'astoundingly']
1	0	[('of americ an culture', -0.020595252513885498), ('the shadow side', -0.0362125039100647), ('ugly and diverse', -0.04488110542297363), ('americ an culture', -0.11739647388458252), ('moral suspense', -0.2595522999763489)]	['astoundingly', 'worldly-wise and very funny script']
1	0	[('produced such a script', 0.09385710954666138), ('played a crucial role', 0.04546332359313965), ('such a script', 0.0022454261779785156), ('under arm noises', -0.016482889652252197), ('a crucial role', -0.01716989278793335)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('a smooth sle ight', -0.034340858459472656), ('director sam mend es', -0.0504763126373291), ('from o scar winner', -0.10624730587005615), ('scar - winning', -0.17537462711334229), ('o scar winner', -0.304627001285553)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('the movie', -0.34945935010910034), ('the whole', -0.3756939172744751)]	['preposterousness', 'astoundingly']
0	0	[('these marginal historical figures', -0.06454378366470337)]	['ugly and destructive', 'preposterousness']
1	1	[('a typical romantic lead', -0.08073222637176514), ('to the formula', -0.13322758674621582), ('the formula', -0.34313660860061646), ('don ovan', -0.5275966823101044)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('nothing going for it', -0.03168410062789917), ('going for it', -0.0972294807434082), ('for it', -0.20347726345062256), ('his latest', -0.2630642056465149), ('ind el ible', -0.7707158923149109)]	['astoundingly', 'preposterousness']
1	1	[('some memorable images', 0.12609899044036865), ('from the characters', 0.09219664335250854), ('the characters', -0.07397043704986572), ('her distance', -0.0788658857345581)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('under stated and touching', -0.040473997592926025), ('stated and touching', -0.13751327991485596)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('a dream seem possible', -0.025973796844482422), ('the odds against success', -0.03366672992706299), ('the wife is patient', -0.04726654291152954), ('long enough to intimidate', -0.09527140855789185), ('is sto ic', -0.15795522928237915)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('of a down video', -0.044108688831329346), ('much of the time', -0.047940611839294434), ('of the time', -0.10994356870651245), ('the latest system', -0.12427127361297607), ('a down video', -0.14028030633926392)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('the aff able cast', -0.03269851207733154), ('uncom pl icated morality', -0.1593186855316162), ('aff able', -0.3375721573829651), ('uncom pl icated', -0.3671049475669861), ('relatively simple', -0.4294617772102356)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	"[(""ca n 't do"", -0.016670942306518555), ('worth caring about', -0.15853148698806763), ('caring about', -0.2661891579627991)]"	['preposterousness', 'preposterous']
0	0	[('in rep ug nance', -0.16920435428619385), ('rep ug nance', -0.18946826457977295), ('to humor', -0.344576895236969), ('the viewer', -0.3497704267501831), ('so much', -0.3945682644844055)]	['astoundingly', 'ugly and destructive']
1	1	[('a place and time', -0.054593563079833984), ('will never happen again', -0.2763800024986267), ('happen again', -0.5712434351444244)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[]	['astoundingly', 'ugly and destructive']
0	0	[('of some appealing ingredients', -0.3392314314842224), ('nearly enough', -0.397771954536438), ('some appealing ingredients', -0.43876975774765015), ('the presence', -0.47692131996154785)]	['astoundingly', 'worldly-wise and very funny script']
0	1	[]	['astoundingly', 'ugly and destructive']
0	0	[('is m add ening', -0.06139177083969116), ('m add ening', -0.132432758808136)]	['astoundingly', 'ugly and mindless']
1	1	[('had while watching it', -0.05039328336715698), ('while watching it', -0.13473862409591675), ('admire its conception', -0.14893782138824463), ('the conf usions', -0.20909136533737183), ('haun ts you', -0.2155662178993225)]	['astoundingly', 'show-stoppingly']
1	0	[('easy ways out', -0.13260990381240845), ('val ed ict orian', -0.15476608276367188), ('soft land ings', -0.28826528787612915), ('at the school', -0.31827300786972046), ('soft land', -0.39553341269493103)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('on singles culture', -0.2023950219154358), ('in a long time', -0.3104168176651001), ('singles culture', -0.4118919372558594), ('a long time', -0.43662387132644653)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('its script is not', -0.06958258152008057), ('its characters', -0.2826197147369385), ('even when', -0.39846694469451904), ('its script', -0.4025242328643799), ('entirely convincing', -0.42304229736328125)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('the the new guy', 0.006915688514709473), ('far more pleas urable', -0.0731116533279419), ('something else', -0.16166937351226807), ('far more', -0.21880370378494263)]	['astoundingly', 'ugly and mindless']
0	0	[('the bicycle thief', -0.5358909368515015), ('of the bicycle thief', -0.5570433437824249), ('the tread s', -0.557670384645462)]	['astoundingly', 'preposterousness']
1	1	[('under a red bridge', -0.051237642765045166), ('the fascinating connections', -0.0663256049156189), ('quirky and poignant', -0.06668758392333984), ('j apan ese', -0.14711254835128784), ('a red bridge', -0.21049225330352783)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('you have done so', -0.41109609603881836), ('the film', -0.417030930519104), ('have done so', -0.43382084369659424), ('done so', -0.4402688145637512), ('the art', -0.5167974233627319)]	['astoundingly', 'ugly and destructive']
1	1	[('aking at its best', -0.014946281909942627), ('at its best', -0.061144351959228516), ('its best', -0.20929652452468872)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('something strangely diver ting', -0.13663071393966675), ('strangely diver ting', -0.2529733180999756), ('table formula', -0.504544198513031)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('all over the stage', -0.0017880797386169434), ('mo pping his face', -0.026741325855255127), ('the w acky talent', -0.05287063121795654), ('in the first place', -0.08549779653549194), ('pping his face', -0.12185245752334595)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('with imagination and flair', -0.030110538005828857), ('imagination and flair', -0.10723090171813965), ('the fantasy cinema', -0.1392831802368164)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('even worse', -0.13436436653137207), ('an haw ke', -0.31686973571777344), ('the camera', -0.3375677466392517), ('behind the camera', -0.356781542301178), ('front of it', -0.3967214822769165)]	['astoundingly', 'preposterousness']
0	0	[('pays for being dishonest', -0.1857001781463623), ('rather than', -0.20233631134033203), ('passing in the night', -0.21481353044509888), ('for being dishonest', -0.24956804513931274), ('the end', -0.2602687478065491)]	['worldly-wise and very funny script', 'astoundingly']
1	1	[('his nicely nuanced narrative', -0.025536179542541504), ('a lot of energy', -0.06204080581665039), ('nicely nuanced', -0.30946964025497437), ('of energy', -0.40309035778045654), ('a cast', -0.41178542375564575)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('amid a compelling plot', -0.024639666080474854), ('a compelling plot', -0.1029389500617981), ('smart people', -0.3279169201850891)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('compelling or comprehens ible', -0.34288591146469116), ('comprehens ible', -0.4352147579193115)]	['astoundingly', 'preposterous']
0	0	[('far less funny', -0.04776275157928467), ('killers from space', -0.04921066761016846), ('this clever idea', -0.09064328670501709), ('from space', -0.15959596633911133), ('far less', -0.16143769025802612)]	['preposterousness', 'astoundingly']
1	1	[('look and sound great', -0.13660794496536255), ('sh ag gy too', -0.19728434085845947), ('you both', -0.4872104525566101)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('hot to take hold', -0.12302958965301514), ('to take hold', -0.2320650815963745), ('take hold', -0.3751649856567383), ('most legendary', -0.4458749294281006), ('the trail of o', -0.4559277594089508)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('unfold in real time', -0.13542795181274414), ('inter min ably', -0.1772599220275879), ('a miserable relationship', -0.2027658224105835), ('in real time', -0.24076199531555176), ('real time', -0.3912501931190491)]	['astoundingly', 'ugly and mindless']
1	0	[('his co - director', 0.04928869009017944), ('in their feature debut', -0.044701218605041504), ('their feature debut', -0.08635079860687256), ('an outrageous dark satire', -0.16576838493347168), ('on fraternity life', -0.26470863819122314)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('for the small screen', -0.14227032661437988), ('a project', -0.23295831680297852), ('the small screen', -0.24297916889190674)]	['ugly and destructive', 'ugly and mindless']
0	0	[]	['astoundingly', 'ugly and destructive']
1	1	[('k uras', -0.4352099299430847), ('mill er', -0.48952341079711914)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('gang ster', -0.05831998586654663)]	['worldly-wise and very funny script', 'played-out']
0	0	[('than - object ive', -0.03273499011993408), ('than - object', -0.11022043228149414), ('its wealth', -0.3237859606742859)]	['astoundingly', 'ugly and destructive']
0	0	[('constructed around him', -0.1365610957145691), ('of z ig zag', -0.17454290390014648), ('a film', -0.2666471600532532), ('around him', -0.3217065930366516), ('z ig zag', -0.3247458338737488)]	['preposterousness', 'worldly-wise and very funny script']
1	1	[('love thy self', -0.19999033212661743), ('thy self', -0.3347647786140442), ('of any size', -0.45675384998321533), ('any size', -0.48981907963752747), ('young women', -0.5640021562576294)]	['astoundingly', 'worldly-wise and very funny script']
1	1	[('it is truly stirring', -0.11921030282974243), ('is truly stirring', -0.1875767707824707), ('more conscientious', -0.37817662954330444)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('this lifeless boxing film', -0.040004611015319824), ('the tricks alone', -0.178023099899292), ('learned new tricks', -0.2685786485671997), ('the tricks', -0.3549808859825134), ('new tricks', -0.4031682014465332)]	['astoundingly', 'ugly and mindless']
0	0	[('sc ott ish', -0.0737566351890564), ('his heart', -0.17104578018188477), ('the work', -0.19806915521621704), ('in it', -0.22347277402877808)]	['astoundingly', 'preposterousness']
1	1	[('deep and psychological', -0.061353862285614014), ('at her abusers', -0.12484633922576904), ('her abusers', -0.34615612030029297), ('if not', -0.4219704270362854)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('a little too much', 0.0826801061630249), ('enough for his second', -0.05911719799041748), ('into his first film', -0.06256651878356934), ('for his second', -0.14199942350387573), ('his first film', -0.23054814338684082)]	['astoundingly', 'worldly-wise and very funny script']
0	0	[('too familiar', -0.21495741605758667), ('of early underground work', -0.5733878910541534), ('trans gressive', -0.5795638859272003), ('early underground work', -0.5857171416282654)]	['astoundingly', 'ugly and destructive']
1	1	[('its rhythms and resonance', -0.058586716651916504), ('of female friendship', -0.11024105548858643), ('female friendship', -0.2731805443763733), ('low - key', -0.29735374450683594), ('unh ur ried', -0.3046839237213135)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
1	1	[('s trying to do', -0.08403337001800537), ('trying to do', -0.18738305568695068), ('to do', -0.3771827816963196)]	['worldly-wise and very funny script', 'four star performance']
1	1	[('its divers ions', -0.11116886138916016), ('uncom pl icated', -0.20716995000839233)]	['worldly-wise and very funny script', 'astoundingly']
