predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('for cr ickets', -0.25637829303741455), ('cr ickets', -0.47466203570365906)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
1	1	[('the highest melting point', -0.4931143522262573)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'President Bush compared Saddam Hussein to whom ?']"
3	3	[('against polio', -0.3898146152496338), ('the vaccination', -0.4493701756000519)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('is epilepsy', -0.8600237295031548), ('What is epilepsy', -0.8966701328754425)]	['What is object-oriented design ?', 'What is object-oriented design ?']
5	5	[('did the Titanic sink', 0.054889678955078125), ('the Titanic', -0.21266067028045654)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
3	3	[('to walk in space', -0.22040504217147827), ('walk in space', -0.26767170429229736), ('in space', -0.36865144968032837)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('a bi osphere', -0.8686110768467188), ('is a bi osphere', -0.8822555970400572)]	['What is a heuristic ?', 'What is object-oriented design ?']
4	4	[('the US', -0.8187729120254517), ('Big M', -0.8349821828305721), ('in the US', -0.8672632165253162), ('the Big M uddy', -0.8818791590165347)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
2	2	[('bipolar disorder', -0.8305792547762394), ('is bipolar disorder', -0.8742279205471277), ('What is bipolar disorder', -0.88613400910981)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('is cholesterol', -0.8481515236198902), ('What is cholesterol', -0.8799804914742708)]	['What are values ?', 'What is a heuristic ?']
3	3	[('developed the Macintosh computer', -0.34942400455474854), ('the Macintosh computer', -0.38285863399505615)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('is caffeine', -0.8652306422591209), ('What is caffeine', -0.8985990509390831)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[('North and South', -0.7290390245616436)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
4	4	[('John Wayne', -0.8619775548577309), ('John Wayne airport', -0.9139864798635244)]	"[""What 's the most popular contact lens color ?"", 'What river is Pocahontas buried along ?']"
4	4	[('the Philippines', -0.8338363692164421), ('is the Philippines in', -0.903831192292273)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
5	5	[('at the Kentucky Derby', -0.09004431962966919), ('the Kentucky Derby', -0.22573035955429077), ('of the horses', -0.244096577167511), ('the horses', -0.4451412260532379)]	['Define cosmology', 'Who wrote The Collector ?']
4	4	[('the Rocky Mountains', -0.9152141828089952)]	"['What U.S. state is Mammoth Cave National Park in ?', ""What 's the most popular contact lens color ?""]"
2	2	[('inver te brates', -0.7141932137310505)]	['What is object-oriented design ?', 'What is object-oriented design ?']
5	5	[('of the earth', -0.12316673994064331), ('the earth', -0.3118341565132141), ('the center', -0.32132065296173096)]	['What is the brightest star visible from Earth ?', 'When is the Sun closest to the Earth ?']
5	5	[('get elected as President', -0.003952682018280029), ('elected as President', -0.1380009651184082), ('as President', -0.2527172863483429)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('when he died', -0.14729762077331543), ('Elvis Pres ley', -0.22488313913345337), ('he died', -0.3711262345314026)]	['What is the chemical composition of a Barbie ?', 'President Bush compared Saddam Hussein to whom ?']
4	4	[('oco River', -0.8322127386927605), ('in oco River', -0.8722270391881466)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
5	5	[('the service line', -0.1158837080001831), ('from the net', -0.17056453227996826), ('the net', -0.4116676449775696), ('in tennis', -0.4169066846370697)]	"[""What was the sequel to The Moon 's Balloon ?"", ""What was John Steinbeck 's travelling companion Charley ?""]"
5	5	[('have per day', -0.07866168022155762), ('How much', -0.31012654304504395), ('per day', -0.3414040803909302)]	['What is the chemical composition of a Barbie ?', 'Who was the star of Leave It to Beaver ?']
5	5	[('How many', -0.2969844937324524), ('are there', -0.305961549282074)]	['How many blacks served in the Vietnam War', 'What is the brightest star visible from Earth ?']
1	1	[('made from what plant', -0.23693376779556274), ('from what plant', -0.32791656255722046), ('what plant', -0.42956265807151794), ('called linen', -0.432315856218338)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What explorers followed Columbus to the Americas ?']"
2	2	[('T ef lon', -0.8853147011250257), ('is T ef lon', -0.8972108173184097)]	['What is DSL ?', 'What is object-oriented design ?']
2	2	[('y line', -0.8265758939087391)]	['What is a heuristic ?', 'What is DSL ?']
2	2	[('a shaman', -0.8397300057113171), ('is a shaman', -0.8805379075929523), ('What is a shaman', -0.890962541103363)]	['What did The Gas House Gang play ?', 'What is object-oriented design ?']
1	1	[('a female wal rus', 0.18422722816467285)]	['What did The Gas House Gang play ?', 'Who is Dear Abby ?']
2	1	[('tur keys', -0.5873958207666874), ('of tur keys', -0.6150478450581431)]	['What did The Gas House Gang play ?', 'What is a heuristic ?']
5	5	[('Rip Van W', -0.2577440142631531), ('inkle sleep', -0.45834407210350037)]	['President Bush compared Saddam Hussein to whom ?', 'How many blacks served in the Vietnam War']
2	2	[('triglycer ides', -0.6631374284625053), ('are triglycer ides', -0.7019979767501354), ('What are triglycer ides', -0.7096509527182207)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
5	5	[('in a gallon', -0.09380221366882324), ('How many', -0.3336849808692932), ('a gallon', -0.366671621799469)]	['What is the chemical composition of a Barbie ?', 'How many blacks served in the Vietnam War']
3	3	[('San Francisco', -0.09281530976295471), ('in San Francisco', -0.13122370839118958), ('the chocolate company', -0.27087903022766113)]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
2	2	[('amphib ians', -0.7375929430127144), ('are amphib ians', -0.7827468635514379), ('What are amphib ians', -0.794499798445031)]	['What is object-oriented design ?', 'What is object-oriented design ?']
3	3	[('discovered x - rays', -0.20620304346084595), ('x - rays', -0.28166645765304565)]	"['President Bush compared Saddam Hussein to whom ?', ""Who played the original Charlie 's Angels ?""]"
3	3	[('Can we talk', -0.2630707621574402)]	"[""Who played the original Charlie 's Angels ?"", 'What is your favorite color ?']"
2	2	[('fib romy algia', -0.8738318290561438), ('is fib romy algia', -0.8868946675211191)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('worn or outdated', -0.7822888437658548)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('in engines', -0.822258323431015)]	['What are values ?', 'How many bytes are in a terabyte ?']
5	5	[]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
4	4	[('of Yugoslavia', -0.7486998327076435), ('the capital', -0.7595411315560341)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
4	4	[('is Milan', -0.8730748370289803), ('Where is Milan', -0.9266399145126343)]	"[""What 's the most popular contact lens color ?"", 'What is the brightest star visible from Earth ?']"
5	5	[('humming birds fly', -0.13938802480697632), ('humming birds', -0.24701300263404846)]	['What is the chemical composition of a Barbie ?', 'What are values ?']
4	4	[('the United States', -0.900989331305027), ('in the United States', -0.9179977965541184)]	['What U.S. state is Mammoth Cave National Park in ?', 'What is the brightest star visible from Earth ?']
4	4	[('North Dakota', -0.6953388564288616), ('head , Minnesota', -0.7303879968822002)]	"['What river is Pocahontas buried along ?', ""What was John Steinbeck 's travelling companion Charley ?""]"
2	1	[('do bats eat', -0.7135219946503639), ('What do bats eat', -0.7191309041809291)]	['What did The Gas House Gang play ?', 'What is object-oriented design ?']
4	4	[('the Battle', -0.8441970124840736), ('take place in', -0.8816618015989661), ('B igh orn', -0.8856152081862092), ('of B igh orn', -0.8945694924332201)]	['Define cosmology', 'What U.S. state is Mammoth Cave National Park in ?']
3	3	[('Who was Abraham Lincoln', -0.3148079514503479), ('was Abraham Lincoln', -0.35815829038619995), ('Abraham Lincoln', -0.4495495855808258)]	"['President Bush compared Saddam Hussein to whom ?', ""Who played the original Charlie 's Angels ?""]"
2	2	[('spider veins', -0.7383422404527664), ('are spider veins', -0.7830102406442165), ('What are spider veins', -0.7939397448208183)]	['What is a heuristic ?', 'What are the different approaches of systems analysis ?']
5	5	[('did John Lennon die', 0.030528008937835693), ('John Lennon', -0.254305899143219)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
4	4	[('from Asia', -0.7905308306217194), ('North America', -0.7930592074990273)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
5	5	[('the population', -0.2983301877975464), ('of Seattle', -0.3589496612548828)]	['How many blacks served in the Vietnam War', 'What are values ?']
5	5	[('for the Titanic', -0.06164616346359253), ('a ticket', -0.33125948905944824), ('the Titanic', -0.35331475734710693)]	['How many blacks served in the Vietnam War', 'Define cosmology']
4	4	[('the world', -0.8130880445241928), ('in the world', -0.8681801147758961)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
3	3	[('West Side Story', -0.24719810485839844), ('West Side', -0.3061739206314087), ('the music', -0.42545342445373535)]	"[""Who played the original Charlie 's Angels ?"", 'What did The Gas House Gang play ?']"
4	4	[('the America', -0.8745430484414101), ('of the America', -0.9195258542895317)]	"[""What 's the most popular contact lens color ?"", 'What U.S. state is Mammoth Cave National Park in ?']"
5	2	[('is the pH scale', 0.06350350379943848), ('the pH scale', -0.035472869873046875)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
1	1	[('is used in Australia', -0.29910409450531006), ('used in Australia', -0.396118700504303), ('What type', -0.4999959170818329), ('in Australia', -0.5190296471118927), ('of currency', -0.5336243808269501)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('the Gateway Arch', -0.08697617053985596), ('St . Louis', -0.22825849056243896)]	"[""What was the sequel to The Moon 's Balloon ?"", ""What was John Steinbeck 's travelling companion Charley ?""]"
5	5	[]	['What is the chemical composition of a Barbie ?', 'Define cosmology']
3	3	[('of Alaska', -0.4080265760421753)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('a prism', -0.8050930947065353), ('is a prism', -0.8473079055547714), ('What is a prism', -0.8579367068596184)]	['What is DSL ?', 'What is object-oriented design ?']
5	5	[]	"['President Bush compared Saddam Hussein to whom ?', ""Who played the original Charlie 's Angels ?""]"
3	3	[('president of South Africa', -0.19898629188537598), ('of South Africa', -0.26233237981796265), ('South Africa', -0.37541311979293823), ('in 1994', -0.3959546685218811)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('the population', -0.3235419988632202), ('of China', -0.3984803557395935)]	['How many blacks served in the Vietnam War', 'What are values ?']
5	5	[('Rosa Parks', -0.3901556134223938)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[]	['What are bear and bull markets ?', 'What is a plant supplement ?']
2	2	[('am oxic illin', -0.8707154160365462), ('is am oxic illin', -0.8795987905468792)]	['What is a heuristic ?', 'What are the different approaches of systems analysis ?']
3	3	[]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[]	['What is a heuristic ?', 'What is object-oriented design ?']
4	4	[('de Leon', -0.8093348145484924), ('come from', -0.8178497217595577), ('once de Leon', -0.8578414786607027), ('P once de Leon', -0.8729533653240651)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
5	1	[('during which war', 0.18221965432167053), ('paper currency', 0.13207247853279114), ('during which', 0.01961994171142578)]	['What was the longest war in U.S. history ?', 'Define cosmology']
2	2	[('desktop publishing', -0.8432485684752464), ('is desktop publishing', -0.8915211390703917), ('What is desktop publishing', -0.9047695330809802)]	['What is object-oriented design ?', 'What is object-oriented design ?']
5	5	"[(""the sun ' s"", -0.020185649394989014)]"	['What is the brightest star visible from Earth ?', 'What are values ?']
5	5	[('join the United Nations', 0.08636581897735596), ('the United Nations', 0.02394998073577881)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
4	3	[('the US', -0.7881027311086655), ('in the US', -0.8371643926948309)]	"[""What country 's royal house is Bourbon-Parma ?"", 'How many blacks served in the Vietnam War']"
4	4	[('Prince Edward', -0.8647713549435139), ('Prince Edward Island', -0.9152419148012996)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
5	5	[('was it discovered', -0.052006661891937256), ('what year', -0.1997826099395752)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[('cry ogen ics', -0.8782863523811102), ('is cry ogen ics', -0.893225540407002)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('coral reefs', -0.3444710150361061), ('are coral reefs', -0.39123838022351265), ('What are coral reefs', -0.40423526242375374)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
5	1	[('baseball - winning', -0.11401575803756714)]	['What is the chemical composition of a Barbie ?', 'What are values ?']
2	2	[('neurolog y', -0.8322814218699932), ('is neurolog y', -0.8730831723660231), ('What is neurolog y', -0.8849086912814528)]	['What is object-oriented design ?', 'What is object-oriented design ?']
3	3	[('Who invented the calculator', -0.2745435833930969), ('invented the calculator', -0.32507026195526123), ('the calculator', -0.41655659675598145)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('measure earthquakes', -0.8746283836662769)]	['What is object-oriented design ?', 'What is object-oriented design ?']
3	3	[('Duke E', -0.4658127725124359), ('lling ton', -0.4738193452358246)]	"['President Bush compared Saddam Hussein to whom ?', ""Who played the original Charlie 's Angels ?""]"
4	4	[('Phoenix , AZ', -0.8838938269764185)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
2	2	[('a mic ron', -0.8629567483440042), ('is a mic ron', -0.8716849065385759)]	['What is a heuristic ?', 'What is object-oriented design ?']
5	5	[('what is the temperature', 0.004798829555511475), ('is the temperature', -0.07573860883712769), ('the temperature', -0.27192240953445435)]	['What are values ?', 'What is the brightest star visible from Earth ?']
1	1	[]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
5	5	[]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
4	4	[('the U . S', -0.8089946256950498)]	['How many blacks served in the Vietnam War', 'What is the brightest star visible from Earth ?']
5	1	[('a poison arrow frog', 0.1942848563194275), ('poison arrow', 0.02658909559249878)]	['President Bush compared Saddam Hussein to whom ?', 'What is the chemical composition of a Barbie ?']
2	2	[('is acupuncture', -0.8771318644285202), ('What is acupuncture', -0.9155987249687314)]	['What is object-oriented design ?', 'What is object-oriented design ?']
5	5	[('the state of Alaska', 0.1384061574935913), ('the coastline', -0.24024373292922974), ('the state', -0.27150601148605347), ('of Alaska', -0.2895840108394623)]	"['What river is Pocahontas buried along ?', ""What was the sequel to The Moon 's Balloon ?""]"
3	3	"[(""Neil Armstrong ' s"", -0.185357004404068)]"	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
1	1	[]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What explorers followed Columbus to the Americas ?']"
3	3	[('in 1989', -0.44688528776168823)]	"['President Bush compared Saddam Hussein to whom ?', ""Who played the original Charlie 's Angels ?""]"
5	5	[]	['President Bush compared Saddam Hussein to whom ?', 'When was Hurricane Hugo ?']
1	1	[('oste op or osis', -0.11130654811859131)]	['What steps can be taken to prevent diabetes ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('won the World Series', -0.008066177368164062), ('the World Series', -0.11974036693572998), ('the Chicago Cubs', -0.14427697658538818)]	"[""What 's the third month of the Gregorian calendar ?"", 'When was the battle of the Somme fought ?']"
4	4	[('is Perth', -0.8567115664482117), ('Where is Perth', -0.9171151062473655)]	"[""What 's the most popular contact lens color ?"", 'What is the brightest star visible from Earth ?']"
5	5	[('did WWII begin', -0.014046549797058105)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('of a golf ball', -0.004250705242156982), ('a golf ball', -0.10362178087234497)]	['What is the chemical composition of a Barbie ?', 'What are values ?']
2	2	[('an eclipse', -0.7782731093466282), ('is an eclipse', -0.820712061598897), ('What is an eclipse', -0.8306637781206518)]	['What did The Gas House Gang play ?', 'What is a handheld PC ?']
3	3	[('Who discovered America', -0.2336086630821228), ('discovered America', -0.3270471692085266)]	"['President Bush compared Saddam Hussein to whom ?', ""Who played the original Charlie 's Angels ?""]"
5	5	[]	['What are values ?', 'What is the brightest star visible from Earth ?']
3	3	[('Which president was unmarried', -0.3580027222633362), ('was unmarried', -0.4057696461677551), ('Which president', -0.4357941448688507)]	['President Bush compared Saddam Hussein to whom ?', 'Who was The Pride of the Yankees ?']
5	5	[('the Milky Way galaxy', 0.02388143539428711), ('Milky Way', -0.37740975618362427)]	['What is the brightest star visible from Earth ?', 'Define cosmology']
5	5	[('most thunder storms', -0.044106900691986084), ('which season', -0.22645175457000732)]	['President Bush compared Saddam Hussein to whom ?', 'When was Hurricane Hugo ?']
2	2	[('Wim bledon', -0.8353725224733353), ('is Wim bledon', -0.8842000477015972), ('What is Wim bledon', -0.8960212778765708)]	"[""Who played the original Charlie 's Angels ?"", 'What did The Gas House Gang play ?']"
5	5	[('for a cat', -0.2928393483161926), ('a cat', -0.4404895603656769)]	['What is the chemical composition of a Barbie ?', 'What are values ?']
5	5	[('a n autical mile', 0.06913834810256958), ('n autical', -0.24739879369735718)]	['What is the brightest star visible from Earth ?', 'Define cosmology']
3	3	"[(""Harper ' s Ferry"", -0.2780807614326477), ('in 18 59', -0.31994789838790894), ('was the abolition', -0.3217228651046753), (""Harper ' s"", -0.36928248405456543), ('the abolition', -0.4014442563056946)]"	"[""Who played the original Charlie 's Angels ?"", 'Who was Monet ?']"
2	2	[]	['What are values ?', 'How many bytes are in a terabyte ?']
1	1	[('to go into space', 0.11077249050140381), ('go into space', -0.01558530330657959), ('into space', -0.16365718841552734)]	['What did The Gas House Gang play ?', 'Who directed The Wild Bunch ?']
2	2	[('is foreclosure', -0.8557059019804001), ('What is foreclosure', -0.9005238218232989)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	1	[('near Kentucky', -0.7810735292732716)]	['What is the brightest star visible from Earth ?', 'What U.S. state is Mammoth Cave National Park in ?']
4	4	[('the Holland Tunnel', -0.9196277651935816)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
3	3	[('Amazing Grace', -0.3603630065917969)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
1	3	[('play in baseball', -0.0048992931842803955), ('in baseball', -0.11978113651275635), ('Willie Davis', -0.14480723440647125)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('are plate', -0.8262430876493454), ('What are plate', -0.8675835812464356), ('What are plate lets', -0.8747464703628793)]	['What is a heuristic ?', 'What are values ?']
2	2	[('sever ance', -0.7583929635584354), ('sever ance pay', -0.79940539970994), ('is sever ance pay', -0.8093844032846391)]	['What are values ?', 'What are bear and bull markets ?']
1	1	"[(""Roy Roger ' s"", 0.17431223392486572)]"	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
4	4	[('the National Archives', -0.9314649226143956)]	"[""What 's the most popular contact lens color ?"", 'Define cosmology']"
2	1	[('a baby turkey', -0.6260691694915295)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What is the chemical composition of a Barbie ?']"
5	1	[('in the human body', 0.3602200448513031), ('the human body', 0.23506060242652893)]	['What is the chemical composition of a Barbie ?', 'How many bytes are in a terabyte ?']
3	3	[('is a German philosopher', -0.36526334285736084), ('a German philosopher', -0.39172685146331787)]	"['President Bush compared Saddam Hussein to whom ?', ""Who played the original Charlie 's Angels ?""]"
1	1	[]	['What did The Gas House Gang play ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[]	['What is DSL ?', 'What is Java ?']
2	2	[('is nicotine', -0.8510146029293537), ('What is nicotine', -0.8859186256304383)]	['What is a heuristic ?', 'What is object-oriented design ?']
1	1	[('for vitamin B 1', -0.09541893005371094), ('vitamin B 1', -0.1841299831867218)]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
3	3	[('Who discovered rad ium', -0.251254141330719), ('discovered rad ium', -0.3010748624801636), ('rad ium', -0.39567863941192627)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('sun sp ots', -0.7596786981448531)]	['What is a heuristic ?', 'What are the different approaches of systems analysis ?']
5	5	[('colon ized', -0.1596124768257141)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
3	3	[('their uniform', -0.45834141969680786), ('the first', -0.4597882926464081), ('of their uniform', -0.47696369886398315), ('part of their uniform', -0.5283375084400177)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
4	4	[('is Egypt on', -0.9098550286144018)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
4	4	[('of Mongolia', -0.7741981893777847), ('the capital', -0.7879540622234344)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
2	2	[('nan otechnology', -0.8226826079189777), ('is nan otechnology', -0.8590616248548031), ('What is nan otechnology', -0.8698078391607851)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[('which colony', -0.3255820833146572), ('populate which colony', -0.36456072330474854), ('to populate which colony', -0.3720967569388449)]	"[""What was John Steinbeck 's travelling companion Charley ?"", 'Define cosmology']"
4	4	[('lower 48', -0.8454013168811798), ('the geographic center', -0.898444976657629), ('the lower 48 states', -0.9094651623163372)]	['Define cosmology', 'What is the brightest star visible from Earth ?']
2	2	[]	['What is a heuristic ?', 'What is DSL ?']
2	2	[('poly mers', -0.7216104045510292), ('are poly mers', -0.7548014959320426), ('What are poly mers', -0.7611894734436646)]	['What is a heuristic ?', 'What are the different approaches of systems analysis ?']
5	5	[('in the Caribbean', 0.06483620405197144), ('the Caribbean', -0.09927511215209961)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
4	4	[('M auna Lo a', -0.9226429981645197)]	['What U.S. state is Mammoth Cave National Park in ?', 'What is the brightest star visible from Earth ?']
1	1	[('for the Northern Lights', -0.05445444583892822), ('the Northern Lights', -0.1585918366909027)]	"['What did The Gas House Gang play ?', ""What characteristics contribute to its `` intelligence '' ?""]"
4	4	[('part of', -0.8270488008856773), ('is Spain part of', -0.8966516158543527)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
5	5	[]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('acet amin ophen', -0.815734083764255), ('is acet amin ophen', -0.8246486564166844)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[('per year', -0.6923968642950058), ('of rain', -0.6950181685388088), ('the least amount', -0.7185012088157237)]	['What is the brightest star visible from Earth ?', 'When is the Sun closest to the Earth ?']
3	3	[('founded American Red Cross', -0.20315057039260864), ('American Red Cross', -0.25356775522232056)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('become the Atlanta Braves', -0.060407280921936035), ('the Milwaukee Braves', -0.17943847179412842), ('the Atlanta Braves', -0.1830686330795288)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('is alcohol absorbed', -0.21578609943389893)]	['What molecules include fluorine , sodium and magnesium ?', 'What is the brightest star visible from Earth ?']
5	5	[]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('super nova', -0.8003312610089779), ('is super nova', -0.8381608296185732), ('What is super nova', -0.8485669807996601)]	['What is a heuristic ?', 'What is object-oriented design ?']
4	4	[]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
4	4	[('Live free', -0.4727892614901066), ('Live free or Die', -0.5215505883097649)]	['What U.S. state is Mammoth Cave National Park in ?', 'What U.S. state is Fort Knox in ?']
4	4	[('our ve', -0.8576218001544476), ('the L', -0.8614789396524429)]	['What river is Pocahontas buried along ?', 'What U.S. state is Mammoth Cave National Park in ?']
5	5	[('the first stamp', -0.031591713428497314)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
1	1	[('mix to make orange', -0.12320220470428467), ('to make orange', -0.23242607712745667), ('make orange', -0.34571459889411926)]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
5	5	[('from the sun', -0.08282184600830078), ('the sun', -0.3336777091026306)]	['What is the brightest star visible from Earth ?', 'When is the Sun closest to the Earth ?']
4	4	[('of water', -0.7670818790793419), ('What body', -0.7712926864624023), ('the Canary Islands', -0.818563325330615)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
